Week,Scenario,Demand,Allocated Cranes,Allocated Dockworkers,Total Capacity,Unmet Demand,Idle Capacity,Cost of Unmet Demand,Cost of Overcapacity,Total Cost
1,Scenario 1,28339.482313821474,6,6,38400,0.0,10060.517686178526,0.0,503025.8843089263,503025.8843089263
1,Scenario 2,33340.567428025264,6,6,38400,0.0,5059.432571974736,0.0,252971.62859873677,252971.62859873677
1,Scenario 3,38341.65254222905,6,6,38400,0.0,58.347457770949404,0.0,2917.37288854747,2917.37288854747
2,Scenario 1,55217.57306642896,10,30,72000,0.0,16782.42693357104,0.0,839121.3466785521,839121.3466785521
2,Scenario 2,64961.850666387014,10,30,72000,0.0,7038.149333612986,0.0,351907.4666806493,351907.4666806493
2,Scenario 3,74706.12826634505,10,30,72000,2706.1282663450547,0.0,270612.8266345055,0.0,270612.8266345055
3,Scenario 1,49020.59763694429,10,16,66400,0.0,17379.402363055713,0.0,868970.1181527857,868970.1181527857
3,Scenario 2,57671.29133758151,10,16,66400,0.0,8728.708662418489,0.0,436435.4331209244,436435.4331209244
3,Scenario 3,66321.98503821873,10,16,66400,0.0,78.01496178127127,0.0,3900.7480890635634,3900.7480890635634
4,Scenario 1,31694.789375496945,7,4,43600,0.0,11905.210624503055,0.0,595260.5312251528,595260.5312251528
4,Scenario 2,37287.98750058464,7,4,43600,0.0,6312.012499415359,0.0,315600.624970768,315600.624970768
4,Scenario 3,42881.18562567233,7,4,43600,0.0,718.8143743276669,0.0,35940.718716383344,35940.718716383344
5,Scenario 1,27987.499779683363,6,5,38000,0.0,10012.500220316637,0.0,500625.01101583184,500625.01101583184
5,Scenario 2,32926.47032903925,6,5,38000,0.0,5073.52967096075,0.0,253676.4835480375,253676.4835480375
5,Scenario 3,37865.44087839514,6,5,38000,0.0,134.55912160486332,0.0,6727.956080243166,6727.956080243166
6,Scenario 1,33985.033308479105,8,4,49600,0.0,15614.966691520895,0.0,780748.3345760447,780748.3345760447
6,Scenario 2,39982.39212762248,8,4,49600,0.0,9617.60787237752,0.0,480880.39361887606,480880.39361887606
6,Scenario 3,45979.750946765846,8,4,49600,0.0,3620.2490532341544,0.0,181012.4526617077,181012.4526617077
7,Scenario 1,46489.40300482135,10,8,63200,0.0,16710.596995178646,0.0,835529.8497589324,835529.8497589324
7,Scenario 2,54693.41529978983,10,8,63200,0.0,8506.584700210173,0.0,425329.2350105086,425329.2350105086
7,Scenario 3,62897.427594758294,10,8,63200,0.0,302.5724052417063,0.0,15128.620262085315,15128.620262085315
8,Scenario 1,81325.30584989172,10,30,72000,9325.305849891723,0.0,932530.5849891724,0.0,932530.5849891724
8,Scenario 2,95676.83041163732,10,30,72000,23676.83041163732,0.0,2367683.041163732,0.0,2367683.041163732
8,Scenario 3,110028.35497338291,10,30,72000,38028.35497338291,0.0,3802835.4973382913,0.0,3802835.4973382913
9,Scenario 1,36400.85665550323,8,4,49600,0.0,13199.14334449677,0.0,659957.1672248385,659957.1672248385
9,Scenario 2,42824.53724176851,8,4,49600,0.0,6775.462758231493,0.0,338773.1379115747,338773.1379115747
9,Scenario 3,49248.217828033776,8,4,49600,0.0,351.78217196622427,0.0,17589.108598311213,17589.108598311213
10,Scenario 1,41238.382511817326,9,5,56000,0.0,14761.617488182674,0.0,738080.8744091337,738080.8744091337
10,Scenario 2,48515.7441315498,9,5,56000,0.0,7484.2558684502,0.0,374212.79342251003,374212.79342251003
10,Scenario 3,55793.105751282266,9,5,56000,0.0,206.89424871773372,0.0,10344.712435886686,10344.712435886686
